#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.45702    -5.44454  0.00710348
         153    -5.46382    -5.44467  0.00705817
         154    -5.49565      -5.445  0.00702009
         155    -5.54467    -5.44564  0.00700419
         156    -5.55542    -5.44635  0.00699455
         157    -5.52672    -5.44686  0.00696871
         158    -5.55444    -5.44754  0.00695779
         159    -5.49444    -5.44784  0.00692028
         160    -5.40788    -5.44759  0.00688153
         161    -5.42939    -5.44747  0.00683971
         162     -5.4146    -5.44727   0.0068005
         163    -5.33554    -5.44658  0.00679324
         164     -5.4515    -5.44661  0.00675188
         165    -5.50129    -5.44695  0.00671909
         166    -5.57926    -5.44774  0.00672573
         167    -5.54167    -5.44831  0.00670893
         168    -5.43014     -5.4482  0.00666987
         169    -5.43497    -5.44812  0.00663086
         170    -5.50737    -5.44847  0.00660101
         171    -5.42628    -5.44834  0.00656368
         172    -5.37769    -5.44793  0.00653836
         173    -5.37308    -5.44749  0.00651487
         174    -5.37474    -5.44708  0.00649083
         175    -5.31269    -5.44631    0.006499
         176    -5.40185    -5.44606  0.00646698
         177    -5.31177     -5.4453   0.0064748
         178    -5.41104     -5.4451  0.00644128
         179    -5.41864    -5.44496  0.00640699
         180    -5.38287    -5.44461  0.00638068
         181     -5.4225    -5.44449  0.00634659
         182    -5.48039    -5.44469  0.00631479
         183    -5.47171    -5.44483  0.00628201
         184    -5.49527    -5.44511  0.00625384
         185    -5.43491    -5.44505  0.00622028
         186    -5.36634    -5.44463  0.00620122
         187    -5.37497    -5.44426  0.00617923
         188    -5.42584    -5.44416  0.00614714
         189    -5.39686    -5.44391  0.00611971
         190    -5.34974    -5.44341  0.00610754
         191    -5.32401    -5.44279  0.00610747
         192    -5.24922    -5.44178  0.00615831
         193    -5.39152    -5.44152  0.00613191
         194    -5.29373    -5.44076  0.00614744
         195    -5.29956    -5.44003  0.00615841
         196    -5.34704    -5.43956  0.00614524
         197    -5.35915    -5.43915  0.00612758
         198    -5.38559    -5.43888  0.00610261
         199    -5.48178     -5.4391  0.00607575
         200    -5.41072    -5.43895  0.00604702
         201    -5.42663    -5.43889  0.00601725
         202    -5.41363    -5.43877  0.00598876
         203    -5.44541     -5.4388  0.00595935
         204    -5.33001    -5.43827  0.00595395
         205    -5.46606     -5.4384  0.00592645
         206    -5.46989    -5.43856  0.00589965
         207    -5.40907    -5.43841  0.00587287
         208    -5.41248    -5.43829  0.00584596
         209    -5.44137     -5.4383    0.005818
         210     -5.5274    -5.43873  0.00580575
         211    -5.47988    -5.43892  0.00578151
         212    -5.36505    -5.43857  0.00576473
         213    -5.28192    -5.43784  0.00578439
         214     -5.3221     -5.4373  0.00578258
         215    -5.41716     -5.4372  0.00575645
         216    -5.46576    -5.43734  0.00573131
         217    -5.48966    -5.43758  0.00570997
         218    -5.44399    -5.43761  0.00568386
         219    -5.53597    -5.43806  0.00567562
         220    -5.51699    -5.43842  0.00566115
         221    -5.52663    -5.43881  0.00564959
         222    -5.54035    -5.43927  0.00564262
         223    -5.48684    -5.43949  0.00562135
         224    -5.51645    -5.43983  0.00560675
         225    -5.44757    -5.43986  0.00558193
         226      -5.343    -5.43943  0.00557367
         227    -5.44029    -5.43944  0.00554911
         228    -5.39672    -5.43925  0.00552794
         229    -5.22902    -5.43833  0.00557951
         230    -5.26248    -5.43757  0.00560739
         231    -5.33465    -5.43712  0.00560079
