#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         169     2.37812     2.34632   0.0325589
         170     2.08704     2.34479   0.0324031
         171     2.43389     2.34531   0.0322178
         172     2.61358     2.34687   0.0320682
         173     2.62132     2.34846   0.0319221
         174     2.72684     2.35063   0.0318126
         175     2.92142      2.3539   0.0317976
         176     2.44186      2.3544   0.0316208
         177     2.88283     2.35738   0.0315828
         178     2.44587     2.35788   0.0314093
         179     2.44295     2.35835   0.0312374
         180     2.55527     2.35945    0.031083
         181     2.33938     2.35934   0.0309115
         182     2.02692     2.35751   0.0307956
         183     2.01844     2.35566    0.030683
         184      1.9274     2.35333   0.0306044
         185      2.1698     2.35234    0.030455
         186      2.4402     2.35281   0.0302949
         187     2.47901     2.35348   0.0301405
         188     2.37504      2.3536   0.0299804
         189     2.45685     2.35415   0.0298267
         190     2.74455      2.3562   0.0297404
         191     2.75507     2.35829   0.0296579
         192     3.10318     2.36217   0.0297561
         193     2.51306     2.36295   0.0296122
         194     2.95304     2.36599   0.0296154
         195     2.99654     2.36923   0.0296395
         196     2.83027     2.37158   0.0295815
         197     2.76245     2.37356   0.0294978
         198      2.6825     2.37512   0.0293901
         199     2.26597     2.37457   0.0292475
         200     2.52695     2.37534   0.0291112
         201     2.44944      2.3757   0.0289687
         202      2.5184     2.37641   0.0288339
         203     2.32822     2.37617   0.0286928
         204     2.81596     2.37833    0.028633
         205     2.26768     2.37779   0.0284984
         206     2.20757     2.37696   0.0283721
         207     2.55783     2.37784   0.0282485
         208     2.51863     2.37851   0.0281208
         209     2.40724     2.37865   0.0279866
         210     2.02672     2.37698   0.0279034
         211     2.17992     2.37604   0.0277868
         212     2.56225     2.37692   0.0276696
         213     3.02107     2.37994   0.0277045
         214     2.83866     2.38209   0.0276578
         215     2.41385     2.38224   0.0275296
         216     2.14579     2.38114   0.0274239
         217     2.13131     2.37999   0.0273216
         218     2.34725     2.37984   0.0271967
         219      1.9927     2.37807   0.0271299
         220     2.06247     2.37664   0.0270445
         221     2.05196     2.37517    0.026962
         222     1.98438     2.37341    0.026898
         223     2.20537     2.37265   0.0267879
         224     2.13979     2.37161   0.0266885
         225     2.48332     2.37211   0.0265745
         226     3.00781     2.37492   0.0266053
         227     2.60944     2.37596   0.0265082
         228     2.76205     2.37765    0.026446
         229     3.41617     2.38219   0.0267165
         230     3.23819     2.38591   0.0268583
         231     2.85922     2.38796   0.0268201
         232     2.57332     2.38875   0.0267164
         233      2.1445     2.38771   0.0266223
         234     1.76111     2.38503   0.0266428
         235      1.8496     2.38275   0.0266267
         236     2.30257     2.38241    0.026516
         237     2.14095     2.38139   0.0264237
         238     2.50923     2.38193   0.0263182
         239      2.5095     2.38246   0.0262135
         240     2.49072     2.38291   0.0261081
         241     2.93973     2.38522   0.0261018
         242     2.65251     2.38633   0.0260173
         243     2.61855     2.38728   0.0259278
         244     2.62089     2.38824   0.0258392
         245     2.71477     2.38957   0.0257681
         246     2.68262     2.39077   0.0256908
         247     2.75998     2.39226   0.0256303
         248     2.57641       2.393   0.0255377
         249     2.55023     2.39363   0.0254429
         250     2.33999     2.39342   0.0253421
         251     2.62946     2.39436   0.0252585
         252     2.92896     2.39648   0.0252472
         253     3.30633     2.40008   0.0254023
         254     2.67239     2.40115   0.0253249
         255      2.7898     2.40267   0.0252714
         256     2.60234     2.40345   0.0251847
         257      3.0316      2.4059    0.025205
         258     2.83539     2.40756   0.0251623
         259     2.59957      2.4083    0.025076
         260      2.3121     2.40793   0.0249823
         261     2.29536      2.4075   0.0248903
         262     1.79118     2.40515   0.0249062
         263     1.85266     2.40305      0.0249
         264     1.83505      2.4009   0.0248984
         265     1.95617     2.39922    0.024861
         266      2.3564     2.39906    0.024768
         267     2.08824      2.3979   0.0247026
         268     1.70385     2.39531   0.0247458
         269     2.00135     2.39384   0.0246971
         270     1.64626     2.39107   0.0247604
         271     1.79461     2.38887   0.0247666
         272     2.03995     2.38759   0.0247088
         273     2.06094     2.38639   0.0246472
         274     2.18231     2.38565   0.0245685
         275     1.85732     2.38373   0.0245542
         276     1.87946      2.3819   0.0245331
         277     1.69344     2.37941   0.0245701
         278     1.79159      2.3773   0.0245725
         279     1.71486     2.37492   0.0245989
         280     1.69507      2.3725   0.0246306
         281     1.81371     2.37051   0.0246231
         282     1.65616     2.36797   0.0246657
         283     1.58172      2.3652   0.0247345
         284     2.08859     2.36422   0.0246666
         285      2.2695     2.36389   0.0245823
         286     2.23206     2.36343   0.0245007
         287     2.46022     2.36377   0.0244176
         288     2.42343     2.36397   0.0243337
         289      2.4467     2.36426   0.0242512
         290     2.56394     2.36495   0.0241773
         291     2.58166     2.36569   0.0241057
         292     2.47712     2.36607   0.0240262
         293     2.50435     2.36655   0.0239488
         294      2.5382     2.36713   0.0238745
         295       2.778     2.36852   0.0238341
         296      2.5395      2.3691   0.0237606
         297     2.55406     2.36972   0.0236888
         298     2.58401     2.37044   0.0236202
         299     2.59609      2.3712   0.0235533
         300     2.92814     2.37305   0.0235478
         301      2.4122     2.37318   0.0234699
         302     2.55639     2.37379      0.0234
         303     2.91788     2.37559   0.0233916
         304     2.92112     2.37738   0.0233834
         305     2.81672     2.37882   0.0233511
         306     3.60764     2.38284   0.0236175
         307       3.617     2.38686   0.0238803
         308     3.21524     2.38955   0.0239537
         309     3.39889     2.39281   0.0240979
         310     2.69662     2.39379   0.0240401
         311     2.81959     2.39516   0.0240017
         312     2.62614      2.3959   0.0239362
         313     2.42619       2.396   0.0238599
         314     2.47055     2.39624   0.0237851
         315     2.80933     2.39755   0.0237458
         316     2.78686     2.39878   0.0237026
         317     3.06999      2.4009   0.0237222
         318     2.90305     2.40248   0.0237001
         319     2.50494      2.4028    0.023628
         320     2.48294     2.40305   0.0235554
         321     2.55353     2.40352   0.0234867
         322     2.76239     2.40463   0.0234402
         323     2.97402     2.40639   0.0234338
         324     2.36254     2.40626   0.0233619
         325     2.58077      2.4068   0.0232962
         326      1.8475     2.40508   0.0232878
         327     2.22601     2.40453    0.023223
         328     1.63009     2.40217   0.0232719
         329     1.65843     2.39991   0.0233108
         330     2.14531     2.39914   0.0232529
         331     2.25752     2.39871   0.0231866
         332     2.28953     2.39838   0.0231191
         333      1.9672     2.39709   0.0230859
