#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     2.19094     2.19291  0.00175906
         169     2.20292     2.19297  0.00174964
         170     2.18385     2.19292  0.00174017
         171     2.17057     2.19279   0.0017349
         172      2.1622     2.19261  0.00173391
         173     2.17969     2.19253  0.00172549
         174     2.22529     2.19272  0.00172581
         175     2.19067     2.19271  0.00171599
         176     2.18174     2.19265  0.00170737
         177     2.18405      2.1926  0.00169842
         178     2.19626     2.19262    0.001689
         179     2.19609     2.19264  0.00167968
         180     2.17822     2.19256  0.00167225
         181      2.1755     2.19246  0.00166567
         182     2.17348     2.19236  0.00165978
         183     2.19004     2.19235  0.00165076
         184     2.17121     2.19223  0.00164578
         185     2.15827     2.19205  0.00164709
         186     2.15221     2.19184   0.0016521
         187     2.14632     2.19159   0.0016611
         188     2.13778     2.19131  0.00167674
         189     2.18805     2.19129  0.00166796
         190     2.22889     2.19149  0.00167088
         191     2.22738     2.19167  0.00167267
         192     2.21631      2.1918  0.00166887
         193     2.19654     2.19183   0.0016604
         194     2.19756     2.19186  0.00165211
         195     2.20706     2.19193  0.00164547
         196     2.18355     2.19189  0.00163763
         197     2.18562     2.19186  0.00162963
         198     2.20258     2.19191   0.0016223
         199     2.23655     2.19214  0.00162958
         200     2.20912     2.19222  0.00162364
