#     BLOCK:   VELOCITY:   ACT_POFV:    AVE_POFV:        ERROR:
           8    0.883883     0.15703    0.145009   0.0177815
           8     1.23744    0.289547    0.307395   0.0139629
           8     1.59099    0.331135    0.362962    0.023003
           8     1.94454    0.455586    0.404406   0.0194588
           8      2.2981    0.359525     0.41843   0.0123579
           8     2.65165    0.347216    0.316064   0.0186667
           8      3.0052    0.202756    0.240672    0.016917
           8     3.35876     0.18699    0.228238   0.0199395
           8     3.71231    0.144407    0.134586  0.00801179
           8     4.06586    0.137755    0.123364  0.00820462
           8     4.41942   0.0295413   0.0338036   0.0054516
           8     4.77297   0.0414312   0.0403247  0.00451697
           8     5.12652   0.0267129   0.0230072  0.00341501
           8     5.48008   0.0157659  0.00898942  0.00309265
           8     5.83363  0.00544734 0.000707107 0.000633904
           8     6.18718           0           0           0
           8     6.54074           0           0           0
           8     6.89429           0           0           0
           9    0.176777   0.0274986  0.00590711  0.00300436
           9     0.53033   0.0908763   0.0432179  0.00941165
           9    0.883883    0.130265    0.143371   0.0158811
           9     1.23744    0.355701    0.312762   0.0134034
           9     1.59099     0.29028    0.354886   0.0218187
           9     1.94454    0.301437    0.392965   0.0203845
           9      2.2981    0.439873    0.420813   0.0112121
           9     2.65165    0.319927    0.316493   0.0165976
           9      3.0052    0.264144     0.24328   0.0152371
           9     3.35876    0.244188     0.23001   0.0178026
           9     3.71231   0.0941238     0.13009  0.00828755
           9     4.06586    0.164101     0.12789  0.00844981
           9     4.41942   0.0190133   0.0321603  0.00508754
           9     4.77297   0.0815006   0.0448998  0.00589293
           9     5.12652  0.00549972   0.0210619  0.00354658
           9     5.48008           0   0.0079906  0.00290584
           9     5.83363           0 0.000628539 0.000568319
           9     6.18718           0           0           0
           9     6.54074           0           0           0
           9     6.89429           0           0           0
          10    0.176777   0.0268701   0.0080034  0.00335652
          10     0.53033   0.0779389     0.04669   0.0090884
          10    0.883883    0.116646    0.140699   0.0145161
          10     1.23744    0.419602    0.323446    0.015756
          10     1.59099    0.244292    0.343827    0.022264
          10     1.94454    0.356277    0.389296   0.0186733
          10      2.2981    0.391423    0.417874    0.010469
          10     2.65165    0.401375    0.324981   0.0169701
          10      3.0052    0.151321    0.234084   0.0162531
          10     3.35876    0.233817    0.230391   0.0160264
          10     3.71231    0.121099    0.129191  0.00750741
          10     4.06586    0.170282    0.132129  0.00860271
          10     4.41942   0.0411169   0.0330559  0.00465696
          10     4.77297   0.0382361   0.0442335  0.00534118
          10     5.12652   0.0362981   0.0225855  0.00350395
          10     5.48008  0.00183324  0.00737486   0.0026797
          10     5.83363           0 0.000565685 0.000514951
          10     6.18718           0           0           0
          10     6.54074           0           0           0
          10     6.89429           0           0           0
          11    0.176777  0.00162373  0.00742343  0.00310108
          11     0.53033   0.0591351   0.0478214  0.00833231
          11    0.883883    0.103919    0.137355   0.0135761
          11     1.23744    0.414574    0.331731   0.0163572
          11     1.59099    0.361567     0.34544   0.0202983
          11     1.94454    0.416983    0.391813   0.0171445
          11      2.2981    0.297299    0.406913   0.0141353
          11     2.65165    0.382728    0.330231    0.016219
          11      3.0052    0.215746    0.232417   0.0148608
          11     3.35876    0.187567    0.226498   0.0150349
          11     3.71231    0.115966    0.127989  0.00692053
          11     4.06586    0.143674    0.133179   0.0078844
          11     4.41942   0.0277081   0.0325698   0.0042589
          11     4.77297   0.0307984   0.0430121  0.00499331
          11     5.12652   0.0535306   0.0253987   0.0041643
          11     5.48008   0.0156087   0.0081234  0.00253848
          11     5.83363           0 0.000514259 0.000470698
          11     6.18718           0           0           0
          11     6.54074           0           0           0
          11     6.89429           0           0           0
          12    0.176777           0  0.00680481  0.00290371
          12     0.53033   0.0588208    0.048738   0.0076882
          12    0.883883    0.164049    0.139579   0.0126257
          12     1.23744    0.284466    0.327792    0.015461
          12     1.59099     0.39577    0.349634   0.0190352
          12     1.94454    0.413527    0.393623    0.015811
          12      2.2981    0.314793    0.399236   0.0148967
          12     2.65165    0.281271    0.326151    0.015372
          12      3.0052    0.373405    0.244166   0.0176665
          12     3.35876    0.198095    0.224131    0.013967
          12     3.71231    0.121465    0.127445  0.00636513
          12     4.06586   0.0909287    0.129658  0.00797485
          12     4.41942   0.0366124   0.0329067  0.00391729
          12     4.77297   0.0528497   0.0438319  0.00464401
          12     5.12652   0.0246702    0.025338  0.00381772
          12     5.48008  0.00670442  0.00800515   0.0023297
          12     5.83363   0.0109994  0.00138802 0.000941282
          12     6.18718           0           0           0
          12     6.54074           0           0           0
          12     6.89429           0           0           0
          13    0.176777           0  0.00628136  0.00272712
          13     0.53033   0.0523783    0.049018   0.0071019
          13    0.883883    0.128065    0.138694   0.0116855
          13     1.23744    0.266396    0.323069   0.0149756
          13     1.59099    0.475123    0.359287   0.0198683
          13     1.94454    0.365077    0.391427   0.0147465
          13      2.2981    0.333859    0.394207    0.014575
          13     2.65165    0.247749     0.32012    0.015327
          13      3.0052    0.357796    0.252907   0.0183429
          13     3.35876    0.275405    0.228075    0.013438
          13     3.71231    0.125446    0.127291  0.00587737
          13     4.06586   0.0975284    0.127187   0.0077349
          13     4.41942    0.063273   0.0352425  0.00425579
          13     4.77297   0.0403313   0.0435626  0.00429458
          13     5.12652           0   0.0233889  0.00399069
          13     5.48008           0  0.00738937  0.00223039
          13     5.83363           0  0.00128125  0.00087491
          13     6.18718           0           0           0
          13     6.54074           0           0           0
          13     6.89429           0           0           0
          14    0.176777 0.000576161  0.00587385  0.00256259
          14     0.53033   0.0774675   0.0510501  0.00687921
          14    0.883883    0.101195    0.136015   0.0111536
          14     1.23744    0.260058    0.318568   0.0145666
          14     1.59099    0.414941    0.363262   0.0188427
          14     1.94454    0.394775    0.391666   0.0136951
          14      2.2981    0.296671     0.38724   0.0151075
          14     2.65165    0.317884     0.31996   0.0142331
          14      3.0052    0.414155    0.264424   0.0203296
          14     3.35876    0.199404    0.226027   0.0126332
          14     3.71231    0.208989    0.133127  0.00783622
          14     4.06586   0.0583494     0.12227  0.00860444
          14     4.41942   0.0566733   0.0367733  0.00421813
          14     4.77297   0.0272891   0.0424002  0.00414215
          14     5.12652           0   0.0217183  0.00404023
          14     5.48008           0  0.00686155  0.00213261
          14     5.83363           0  0.00118974 0.000817189
          14     6.18718           0           0           0
          14     6.54074           0           0           0
          14     6.89429           0           0           0
          15    0.176777  0.00665204  0.00592573  0.00239227
          15     0.53033    0.128536   0.0562159  0.00813203
          15    0.883883    0.051226    0.130363   0.0117554
          15     1.23744    0.372514    0.322165   0.0140324
          15     1.59099    0.341664    0.361822   0.0176414
          15     1.94454    0.310917    0.386283   0.0137996
          15      2.2981    0.306518    0.381859   0.0150283
          15     2.65165    0.296461    0.318394   0.0133701
          15      3.0052    0.469676    0.278108   0.0231253
          15     3.35876    0.182119      0.2231   0.0121254
          15     3.71231    0.198618    0.137493  0.00844297
          15     4.06586   0.0702917    0.118804  0.00870064
          15     4.41942    0.057878   0.0381803  0.00416497
          15     4.77297   0.0353553   0.0419306  0.00389254
          15     5.12652           0   0.0202704  0.00402196
          15     5.48008           0  0.00640412  0.00203891
          15     5.83363           0  0.00111042  0.00076655
          15     6.18718           0           0           0
          15     6.54074           0           0           0
          15     6.89429           0           0           0
          16    0.176777   0.0339411  0.00767669  0.00281144
          16     0.53033    0.113975   0.0598258  0.00838685
          16    0.883883      0.0936    0.128065    0.011243
          16     1.23744    0.293056    0.320346   0.0132728
          16     1.59099    0.369791     0.36232   0.0165459
          16     1.94454    0.309032    0.381455   0.0137559
          16      2.2981     0.37021    0.381131   0.0141067
          16     2.65165    0.302851    0.317422   0.0125697
          16      3.0052    0.354444    0.282879   0.0221667
          16     3.35876    0.202966    0.221842   0.0114327
          16     3.71231    0.181648    0.140253  0.00835414
          16     4.06586    0.125603    0.119229  0.00816721
          16     4.41942     0.04735   0.0387534   0.0039439
          16     4.77297   0.0144564   0.0402134  0.00401016
          16     5.12652   0.0149278   0.0199365  0.00378442
          16     5.48008 0.000576161  0.00603987  0.00194374
          16     5.83363           0  0.00104102 0.000721775
          16     6.18718           0           0           0
          16     6.54074           0           0           0
          16     6.89429           0           0           0
          17    0.176777   0.0016761  0.00732372  0.00266813
          17     0.53033    0.097895   0.0620652  0.00818702
          17    0.883883    0.128222    0.128074   0.0105816
          17     1.23744     0.29489    0.318848   0.0125762
          17     1.59099    0.274934     0.35718   0.0163516
          17     1.94454    0.389904    0.381952   0.0129557
          17      2.2981    0.422221    0.383548   0.0134823
          17     2.65165    0.362091     0.32005   0.0121019
          17      3.0052     0.39488    0.289467   0.0218199
          17     3.35876    0.139902    0.217022   0.0117323
          17     3.71231    0.104076    0.138125  0.00812924
          17     4.06586   0.0586113    0.115664  0.00842932
          17     4.41942   0.0740629   0.0408304  0.00422356
          17     4.77297   0.0422169   0.0403313    0.003776
          17     5.12652   0.0358791   0.0208743  0.00367617
          17     5.48008  0.00696631  0.00609437  0.00183016
          17     5.83363           0 0.000979782  0.00068191
          17     6.18718           0           0           0
          17     6.54074           0           0           0
          17     6.89429           0           0           0
          18    0.176777  0.00581399  0.00723984  0.00252122
          18     0.53033   0.0877336   0.0634912  0.00785539
          18    0.883883    0.214856    0.132895   0.0110376
          18     1.23744    0.291433    0.317325   0.0119694
          18     1.59099    0.264406    0.352026   0.0162352
          18     1.94454    0.419288    0.384026   0.0124008
          18      2.2981    0.346587    0.381494   0.0128887
          18     2.65165    0.392628    0.324082   0.0120826
          18      3.0052    0.326579    0.291529   0.0207048
          18     3.35876    0.153783    0.213508   0.0115946
