#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         151   -0.262107   -0.321867  0.00278612
         152   -0.286335   -0.321634  0.00277758
         153   -0.316829   -0.321602   0.0027596
         154   -0.347617   -0.321771  0.00274685
         155   -0.325402   -0.321795  0.00272923
         156   -0.334649   -0.321877  0.00271297
         157   -0.372404   -0.322199  0.00271472
         158   -0.407114   -0.322736  0.00275022
         159    -0.34259   -0.322861  0.00273575
         160   -0.341401   -0.322977  0.00272111
         161   -0.289943   -0.322772  0.00271193
         162   -0.284673   -0.322537  0.00270537
         163   -0.287677   -0.322323  0.00269721
         164   -0.268704   -0.321996  0.00270051
         165   -0.329606   -0.322042  0.00268454
         166   -0.335484   -0.322123  0.00266958
         167   -0.344929    -0.32226  0.00265709
         168   -0.319251   -0.322242  0.00264133
         169   -0.337269   -0.322331   0.0026272
         170   -0.308704    -0.32225  0.00261297
         171   -0.288786   -0.322055  0.00260501
         172    -0.27622   -0.321788  0.00260346
         173   -0.302786   -0.321678  0.00259072
         174   -0.370808   -0.321961  0.00259117
         175   -0.318779   -0.321943  0.00257643
         176   -0.305479   -0.321849  0.00256349
         177   -0.308762   -0.321775  0.00255007
         178   -0.327265   -0.321806  0.00253593
         179   -0.327005   -0.321835  0.00252193
         180   -0.299974   -0.321713  0.00251084
         181   -0.296091   -0.321572  0.00250096
         182   -0.293263   -0.321416  0.00249205
         183   -0.317982   -0.321398   0.0024785
         184    -0.28958   -0.321225  0.00247106
         185   -0.270159   -0.320949  0.00247307
         186   -0.261098   -0.320627  0.00248062
         187   -0.252027    -0.32026  0.00249433
         188   -0.239755   -0.319832  0.00251755
         189   -0.315008   -0.319806  0.00250436
         190    -0.37641   -0.320104  0.00250884
         191   -0.373767   -0.320385  0.00251139
         192   -0.357258   -0.320577  0.00250564
         193   -0.327641   -0.320614  0.00249292
         194   -0.329164   -0.320658  0.00248046
         195    -0.34352   -0.320775  0.00247051
         196   -0.308181   -0.320711  0.00245874
         197   -0.311359   -0.320663  0.00244672
         198   -0.336855   -0.320745  0.00243573
         199   -0.387575   -0.321081  0.00244653
         200   -0.346402   -0.321208  0.00243757
