1 1 0
2 1.40841 0.00377137
3 1.73189 0.00531521
4 2.0012 0.00670542
5 2.25048 0.00724742
6 2.46317 0.00844907
7 2.66026 0.0091596
8 2.82993 0.0107416
9 3.00844 0.0114698
10 3.1752 0.0120734
11 3.3281 0.0139074
12 3.4678 0.0149592
13 3.60792 0.0143956
14 3.73978 0.013807
15 3.87339 0.0147308
16 4.00255 0.015196
17 4.12588 0.0164532
18 4.23865 0.0162995
19 4.35446 0.0180397
20 4.45983 0.0173558
21 4.57036 0.0177958
22 4.69047 0.0181996
23 4.80501 0.0183111
24 4.90387 0.0193907
25 5.00292 0.0193115
26 5.10061 0.0196279
27 5.19687 0.0208771
28 5.29188 0.0217075
29 5.38919 0.0218178
30 5.47718 0.0232808
31 5.57665 0.0235619
32 5.67403 0.0243192
33 5.76317 0.0242892
34 5.84842 0.0252324
35 5.92974 0.0250586
36 6.00555 0.0251908
37 6.09117 0.0255696
38 6.17344 0.0256517
39 6.24827 0.0255719
40 6.3346 0.0258017
41 6.40703 0.0259573
42 6.48789 0.0265418
43 6.56113 0.0264791
44 6.63145 0.026894
45 6.70759 0.0266552
46 6.7776 0.0267976
47 6.84885 0.02742
48 6.92283 0.0273728
49 6.98665 0.0283658
50 7.06638 0.0277183
51 7.13799 0.0280802
52 7.21544 0.0293624
53 7.28402 0.0295261
54 7.34267 0.0295968
55 7.40496 0.0297557
56 7.46171 0.030576
57 7.52938 0.0298233
58 7.59959 0.0308061
59 7.66633 0.0317824
60 7.73495 0.0323574
61 7.79388 0.0334528
62 7.86052 0.034793
63 7.92331 0.0349868
64 7.98256 0.0350198
65 8.03758 0.0344827
66 8.09788 0.0347801
67 8.16024 0.0343775
68 8.22086 0.0332079
69 8.28922 0.0341803
70 8.35096 0.0342658
71 8.40751 0.0350741
72 8.47112 0.0353001
73 8.53122 0.0357816
74 8.58705 0.036724
75 8.64293 0.0367892
76 8.69534 0.037831
77 8.75806 0.0381507
78 8.80612 0.0384101
79 8.85872 0.0395811
80 8.91389 0.0396171
81 8.9766 0.0390024
82 9.03371 0.0394895
83 9.097 0.0392527
84 9.15117 0.0388236
85 9.19892 0.0392126
86 9.25417 0.0386949
87 9.3018 0.0383805
88 9.35796 0.0387059
89 9.41069 0.0392298
90 9.46443 0.0388748
91 9.51878 0.0383013
92 9.57917 0.0383074
93 9.63974 0.0380554
94 9.70406 0.0378198
95 9.75729 0.0377229
96 9.80191 0.0370643
97 9.85229 0.0363596
98 9.90294 0.0360769
99 9.94613 0.0372031
100 9.99069 0.0375568
