#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     2.16838     2.18286  0.00269106
         169     2.15378     2.18269  0.00268063
         170     2.16433     2.18258  0.00266704
         171     2.19124     2.18263  0.00265192
         172     2.19431      2.1827  0.00263737
         173     2.18478     2.18271  0.00262215
         174     2.20183     2.18282  0.00260938
         175      2.2044     2.18294  0.00259739
         176     2.20176     2.18305  0.00258483
         177      2.1979     2.18314  0.00257159
         178     2.19973     2.18323  0.00255883
         179     2.17305     2.18317  0.00254517
         180     2.18835      2.1832  0.00253119
         181     2.17936     2.18318  0.00251729
         182     2.17316     2.18312  0.00250406
         183     2.19352     2.18318  0.00249102
         184     2.19913     2.18327  0.00247899
         185     2.18765     2.18329  0.00246571
         186     2.19059     2.18333  0.00245276
         187     2.16461     2.18323  0.00244169
         188     2.16047     2.18311   0.0024317
         189     2.18138      2.1831  0.00241885
         190     2.17761     2.18307  0.00240629
         191     2.19243     2.18312  0.00239419
         192     2.19581     2.18319  0.00238263
         193     2.18712     2.18321  0.00237038
         194     2.18259      2.1832  0.00235816
         195     2.19988     2.18329  0.00234762
         196     2.21024     2.18343  0.00233966
         197     2.22316     2.18363  0.00233646
         198     2.20993     2.18376  0.00232844
         199     2.16891     2.18369  0.00231793
         200     2.20337     2.18379  0.00230843
