#     BLOCK:   VELOCITY:   ACT_POFV:    AVE_POFV:        ERROR:
           7     4.41942   0.0545258   0.0921558  0.00735888
           7     4.77297   0.0376076   0.0179957  0.00494916
           7     5.12652  0.00424264   0.0477091   0.0105982
           7     5.48008           0 0.000321752 0.000184026
           7     5.83363   0.0261891   0.0210336  0.00207464
           7     6.18718           0  0.00463174  0.00174346
           7     6.54074           0 0.000112239 7.66218e-05
           7     6.89429   0.0261891    0.025583 0.000393369
           8    0.176777   0.0654205    0.160598   0.0303775
           8     0.53033   0.0944904    0.308462   0.0433999
           8    0.883883    0.133669    0.287256   0.0324479
           8     1.23744    0.499217     0.28537   0.0415841
           8     1.59099    0.352401    0.277965   0.0317209
           8     1.94454    0.256968    0.224755   0.0146934
           8      2.2981    0.369843    0.313883   0.0158397
           8     2.65165     0.28279    0.225894   0.0138066
           8      3.0052    0.271529    0.164756   0.0258863
           8     3.35876    0.136498    0.167519   0.0130502
           8     3.71231    0.164625     0.08391   0.0150945
           8     4.06586   0.0262939    0.122873   0.0165795
           8     4.41942   0.0277081   0.0840999  0.00991198
           8     4.77297   0.0895669   0.0269421  0.00942266
           8     5.12652  0.00502831    0.042374    0.010531
           8     5.48008           0 0.000281533 0.000165359
           8     5.83363  0.00256654   0.0187252  0.00282098
           8     6.18718   0.0236226  0.00700559  0.00269407
           8     6.54074           0 9.82093e-05 6.83165e-05
           8     6.89429   0.0261891   0.0256588 0.000351418
           9    0.176777   0.0255606    0.145594   0.0304833
           9     0.53033    0.129636    0.288593   0.0428855
           9    0.883883    0.194847    0.276988   0.0304237
           9     1.23744    0.444744    0.303078   0.0405592
           9     1.59099    0.302642    0.280707   0.0283146
           9     1.94454    0.248116    0.227351   0.0132881
           9      2.2981    0.291642    0.311412   0.0142712
           9     2.65165     0.44422    0.250153   0.0259558
           9      3.0052    0.196157    0.168245   0.0232439
           9     3.35876    0.243559    0.175968   0.0140718
           9     3.71231    0.107533   0.0865347   0.0136436
           9     4.06586   0.0362981    0.113253   0.0173043
           9     4.41942   0.0631158   0.0817683  0.00908073
           9     4.77297   0.0479785   0.0292795  0.00866076
           9     5.12652           0   0.0376658   0.0103601
           9     5.48008           0 0.000250252 0.000149916
           9     5.83363           0   0.0166447  0.00318364
           9     6.18718   0.0261891   0.0091371  0.00312622
           9     6.54074           0 8.72971e-05 6.15911e-05
           9     6.89429   0.0261891   0.0257177 0.000317273
          10    0.176777   0.0143516     0.13247    0.030128
          10     0.53033    0.102557    0.269989   0.0424407
          10    0.883883    0.213232    0.270612   0.0280414
          10     1.23744    0.375343    0.310305   0.0371415
          10     1.59099    0.343602    0.286996   0.0261723
          10     1.94454    0.301856    0.234801   0.0138918
          10      2.2981    0.401951    0.320466   0.0154514
          10     2.65165    0.303061    0.255444   0.0238933
          10      3.0052    0.251259    0.176546   0.0223528
          10     3.35876    0.193485     0.17772   0.0127732
          10     3.71231   0.0975284   0.0876341   0.0123234
          10     4.06586   0.0566733    0.107595    0.016473
          10     4.41942   0.0630111   0.0798926  0.00836414
          10     4.77297   0.0581399   0.0321655  0.00826156
          10     5.12652           0   0.0338992   0.0099853
          10     5.48008           0 0.000225227 0.000136997
          10     5.83363           0   0.0149802  0.00327158
          10     6.18718   0.0431073   0.0125341   0.0042781
          10     6.54074  0.00513307 0.000591875 0.000481883
          10     6.89429  0.00413788   0.0235598  0.00206706
          11    0.176777   0.0324222    0.123375   0.0287292
