#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           2      1.8083    0.881851     0.89415  0.00869661
           2     1.83395    0.923591    0.928438  0.00342732
           2      1.8596    0.963934    0.970652   0.0047505
           2     1.88525     1.00511     1.01314  0.00567941
           2      1.9109     1.05458     1.05717   0.0018357
           2     1.93655     1.08858     1.08802 0.000399456
           2      1.9622     1.12209     1.12357  0.00104854
           2     1.98785     1.15933     1.15785  0.00104093
           2      2.0135      1.1721     1.17897  0.00485371
           2     2.03915     1.20696     1.20038    0.004653
           2      2.0648     1.21983     1.21426  0.00394256
           2     2.09045     1.22461     1.20899   0.0110453
           2      2.1161     1.21496     1.19619   0.0132685
           2     2.14174     1.21459     1.20088  0.00969227
           2     2.16739     1.18907     1.17435   0.0104101
           2     2.19304     1.15077     1.14278   0.0056489
           2     2.21869     1.12818     1.11523  0.00915543
           2     2.24434       1.101     1.08778  0.00935063
           2     2.26999     1.07504      1.0654  0.00681473
           2     2.29564     1.04297     1.03839  0.00324252
           2     2.32129     1.00777     1.01015  0.00167751
           2     2.34694    0.986349    0.987842  0.00105562
           2     2.37259    0.973367    0.970784  0.00182677
           2     2.39824    0.937412    0.945797  0.00592879
           2     2.42389    0.930378    0.937303  0.00489643
           2     2.44954    0.928578    0.927561 0.000719376
           2     2.47519    0.910886    0.915095  0.00297566
           2     2.50084    0.900669    0.902586  0.00135597
           2     2.52649    0.888223    0.894349  0.00433181
           2     2.55214    0.886083    0.896083  0.00707139
           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263           0           0           0
           3    0.884913  0.00119217  0.00103933 6.60353e-05
           3    0.910562   0.0254639     0.02454 0.000586483
           3    0.936212    0.154359    0.169543  0.00689233
           3    0.961861    0.527506    0.546342  0.00900374
           3    0.987511     1.15792     1.18139   0.0187412
           3     1.01316     1.80719      1.8542   0.0195266
           3     1.03881     2.29681       2.332   0.0238764
           3     1.06446     2.50499     2.54063   0.0217144
           3     1.09011     2.54478     2.54538   0.0026041
           3     1.11576     2.39273     2.39802  0.00399233
           3     1.14141     2.23591     2.19336   0.0177765
           3     1.16706     1.98686     1.97442   0.0119459
           3     1.19271     1.78364     1.77079   0.0103326
           3     1.21836     1.59845     1.56359   0.0211173
           3     1.24401     1.43971     1.39301   0.0227384
           3     1.26966     1.30301     1.25505    0.021679
           3     1.29531     1.15018       1.126   0.0118132
           3     1.32096     1.06446     1.03944   0.0109695
           3     1.34661    0.958478    0.947666  0.00863442
           3     1.37226    0.899948    0.884961  0.00613722
           3     1.39791    0.829374    0.816144   0.0054158
           3     1.42355    0.768713    0.772848  0.00172741
           3      1.4492    0.740274    0.739043 0.000557693
           3     1.47485    0.700652    0.711547  0.00461887
           3      1.5005    0.687461     0.68828  0.00119783
           3     1.52615    0.677282    0.684435   0.0029209
           3      1.5518    0.659999    0.675317  0.00635048
           3     1.57745    0.648754    0.667686  0.00781719
           3      1.6031    0.664655    0.676029  0.00475406
           3     1.62875    0.668034    0.685531   0.0105323
           3      1.6544     0.67692    0.701601     0.01025
           3     1.68005    0.703911    0.723808  0.00916551
           3      1.7057    0.735033      0.7519  0.00877909
           3     1.73135    0.782342    0.783045  0.00293914
           3       1.757    0.812382    0.816577  0.00760327
           3     1.78265    0.827184     0.85321   0.0132973
           3      1.8083    0.881104    0.889801  0.00679855
           3     1.83395    0.930958    0.929278  0.00238556
           3      1.8596    0.970517    0.970607  0.00316721
           3     1.88525      1.0083     1.01153  0.00400882
           3      1.9109      1.0521     1.05548  0.00184523
           3     1.93655     1.09399     1.09001   0.0016452
           3      1.9622     1.12084     1.12266  0.00102066
           3     1.98785      1.1622      1.1593  0.00137081
           3      2.0135     1.18117      1.1797  0.00329101
           3     2.03915     1.19494     1.19857  0.00343727
           3      2.0648      1.2181     1.21554   0.0028286
           3     2.09045     1.20834     1.20877  0.00736568
           3      2.1161     1.22261       1.205   0.0113986
           3     2.14174     1.20474     1.20217  0.00654633
           3     2.16739     1.19342     1.18071  0.00866768
           3     2.19304     1.16684      1.1508    0.007553
