#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.10011     1.37901   0.0286338
         169     1.10089     1.37737   0.0285117
         170      1.1017     1.37575     0.02839
         171     1.10255     1.37415   0.0282689
         172     1.10342     1.37257   0.0281483
         173      1.1043     1.37102   0.0280283
         174     1.10517      1.3695   0.0279089
         175     1.10602     1.36799     0.02779
         176     1.10684     1.36651   0.0276716
         177      1.1076     1.36504   0.0275539
         178      1.1083      1.3636   0.0274369
         179      1.1089     1.36218   0.0273205
         180      1.1094     1.36077   0.0272047
         181     1.10979     1.35939   0.0270898
         182     1.11005     1.35802   0.0269755
         183     1.11017     1.35666   0.0268621
         184     1.11015     1.35532   0.0267495
         185     1.10998       1.354   0.0266378
         186     1.10967     1.35268   0.0265269
         187     1.10921     1.35138    0.026417
         188     1.10861     1.35009    0.026308
         189     1.10786     1.34881      0.0262
         190       1.107     1.34754    0.026093
         191     1.10601     1.34627    0.025987
         192     1.10492     1.34501   0.0258821
         193     1.10373     1.34376   0.0257781
         194     1.10246     1.34252   0.0256753
         195     1.10113     1.34128   0.0255734
         196     1.09975     1.34005   0.0254726
         197     1.09834     1.33882   0.0253728
         198     1.09692      1.3376   0.0252741
         199     1.09548     1.33638   0.0251764
         200     1.09406     1.33517   0.0250796
         201     1.09267     1.33397   0.0249838
         202     1.09131     1.33277    0.024889
         203        1.09     1.33157   0.0247951
         204     1.08876     1.33038   0.0247021
         205     1.08758     1.32919     0.02461
         206     1.08649     1.32802   0.0245187
         207     1.08548     1.32684   0.0244283
         208     1.08457     1.32568   0.0243386
         209     1.08377     1.32452   0.0242496
         210     1.08308     1.32337   0.0241614
         211     1.08251     1.32223   0.0240738
         212     1.08206      1.3211   0.0239869
         213     1.08174     1.31997   0.0239006
         214     1.08156     1.31886   0.0238149
         215     1.08153     1.31776   0.0237297
         216     1.08165     1.31666    0.023645
         217     1.08192     1.31558   0.0235608
         218     1.08237     1.31451    0.023477
         219       1.083     1.31345   0.0233935
         220      1.0838     1.31241   0.0233105
         221      1.0848     1.31138   0.0232278
         222       1.086     1.31037   0.0231453
         223      1.0874     1.30937   0.0230631
         224     1.08901     1.30838   0.0229811
         225     1.09083     1.30742   0.0228993
         226     1.09285     1.30647   0.0228176
         227     1.09509     1.30553   0.0227361
         228     1.09753     1.30462   0.0226547
         229     1.10017     1.30373   0.0225734
         230     1.10299     1.30286   0.0224921
         231     1.10598       1.302   0.0224108
         232     1.10913     1.30117   0.0223297
