1 0
0.751323 0.659934
0.680049 0.733167
0.662363 0.749183
0.624144 0.781309
0.595132 0.803628
0.46563 0.884979
0.34467 0.938724
0.262736 0.964868
0.248462 0.968642
-0.0168116 0.999859
-0.239528 0.970889
-0.315215 0.94902
-0.651451 0.758691
-0.739624 0.67302
-0.988418 0.151755
-0.898852 -0.438252
-0.859931 -0.510411
-0.695101 -0.718912
-0.656781 -0.754081
-0.441556 -0.897234
-0.404543 -0.914519
-0.234104 -0.972212
-0.225946 -0.97414
0.170863 -0.985295
0.579622 -0.814885
0.702467 -0.711717
0.768231 -0.640172
0.835199 -0.549948
0.852452 -0.522805
0.904346 -0.4268
0.993621 -0.112767
0.99794 -0.0641466
0.998148 -0.0608342
