#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           2      1.8083    0.879347    0.911708    0.022883
           2     1.83395    0.928801    0.943876   0.0106594
           2      1.8596    0.995127    0.992271  0.00201914
           2     1.88525     1.07686     1.05054   0.0186099
           2      1.9109     1.11079     1.08079   0.0212079
           2     1.93655     1.13058     1.09263   0.0268381
           2      1.9622     1.16773     1.14173   0.0183857
           2     1.98785     1.15195     1.15166 0.000205617
           2      2.0135     1.15371      1.1625  0.00621275
           2     2.03915       1.187     1.17043    0.011718
           2      2.0648     1.22997     1.20459     0.01795
           2     2.09045     1.22196     1.22794  0.00422407
           2      2.1161     1.24673     1.22763   0.0135066
           2     2.14174     1.20474     1.20624  0.00106277
           2     2.16739      1.2135     1.20257  0.00772381
           2     2.19304     1.16903     1.16072  0.00587592
           2     2.21869     1.11276     1.12151  0.00618443
           2     2.24434     1.07012     1.08716   0.0120474
           2     2.26999     1.03098     1.05409   0.0163396
           2     2.29564    0.974343     1.00601   0.0223941
           2     2.32129     0.96907    0.990161   0.0149138
           2     2.34694    0.972751    0.969432  0.00234633
           2     2.37259    0.942162     0.96045   0.0129318
           2     2.39824    0.907795    0.933254   0.0180027
           2     2.42389    0.907691    0.919823  0.00857848
           2     2.44954    0.915628     0.90956  0.00429087
           2     2.47519    0.922913    0.908753   0.0100128
           2     2.50084    0.900749    0.894841  0.00417753
           2     2.52649    0.918544     0.91109  0.00527057
           2     2.55214    0.887682    0.896122  0.00596819
           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263           0           0           0
           3    0.884913  0.00238434  0.00223149 0.000586935
           3    0.910562   0.0245111   0.0258103  0.00146701
           3    0.936212      0.1646    0.167031  0.00999474
           3    0.961861    0.582539    0.566575  0.00652156
           3    0.987511     1.18775     1.21659   0.0166352
           3     1.01316     1.81537     1.86446   0.0202861
           3     1.03881     2.25928     2.29735   0.0156158
           3     1.06446      2.5067     2.48378   0.0189751
           3     1.09011     2.41678     2.47526   0.0256525
           3     1.11576     2.25717     2.33558    0.033217
           3     1.14141     2.19942     2.24699   0.0486235
           3     1.16706     2.18068     2.07265   0.0567925
           3     1.19271      1.9358     1.81826   0.0482174
           3     1.21836     1.71277     1.60721   0.0431044
           3     1.24401     1.44347     1.43042  0.00660064
           3     1.26966     1.28199     1.27893  0.00747624
           3     1.29531      1.1563     1.16178   0.0165758
           3     1.32096     1.00738     1.02739   0.0151327
           3     1.34661    0.881093     0.91234   0.0132134
           3     1.37226    0.791145    0.831074   0.0272479
           3     1.39791    0.782885    0.768577   0.0143089
           3     1.42355    0.743411    0.754621   0.0195945
           3      1.4492    0.692367    0.697086   0.0168424
           3     1.47485    0.719801    0.685344   0.0296564
           3      1.5005    0.730936    0.689949   0.0205683
           3     1.52615    0.689893    0.681506  0.00348574
           3      1.5518    0.673985    0.675904   0.0138205
           3     1.57745    0.704281    0.690678   0.0056987
           3      1.6031    0.680639    0.675479  0.00438567
           3     1.62875    0.691207    0.690539  0.00350725
           3      1.6544    0.695759    0.705896   0.0159515
           3     1.68005    0.722612     0.70978   0.0145472
           3      1.7057     0.74419    0.740965  0.00817057
           3     1.73135    0.782606    0.789498  0.00305548
           3       1.757    0.824782     0.83221  0.00400842
           3     1.78265    0.845399    0.861692   0.0117878
           3      1.8083    0.852597    0.892005    0.022171
           3     1.83395    0.870766    0.919506   0.0211289
           3      1.8596    0.960695    0.981746  0.00869886
           3     1.88525     1.01808     1.03972   0.0152308
           3      1.9109     1.05043     1.07067    0.016377
           3     1.93655     1.06145     1.08223    0.019802
           3      1.9622     1.11093     1.13146   0.0148487
           3     1.98785      1.1479      1.1504  0.00103303
           3      2.0135     1.17387     1.16629  0.00517058
